modelo,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Random Forest,0.69,0.9442325766338925,0.8569973680681213,0.11986764437245875,0.2087349300771601,0.8751135653880722,1036627,1360,60350,8223
Random Forest,0.7,0.9441141917293233,0.8620281808851411,0.11660853750837527,0.20393010560203115,0.8751135653880722,1036720,1267,60574,7999
Random Forest,0.71,0.9440003253325623,0.8675925465708879,0.11336009006212491,0.19907356740342882,0.8751135653880722,1036817,1170,60797,7776
Random Forest,0.72,0.9438692886061307,0.8724320835428143,0.1100976704525933,0.19409722340180444,0.8751135653880722,1036896,1091,61021,7552
Random Forest,0.73,0.9437147556390977,0.8777183075404759,0.10634370330575298,0.18832659728782866,0.8751135653880722,1036983,1004,61279,7294
Random Forest,0.74,0.94353491902834,0.8808580994877468,0.10243685390070223,0.18223924610394215,0.8751135653880722,1037052,935,61547,7026
Random Forest,0.75,0.943374060150376,0.8835522802383318,0.09899765955393316,0.17681375058654558,0.8751135653880722,1037110,877,61783,6790
Random Forest,0.76,0.9432294679005204,0.8868450143082584,0.09583748317460936,0.17177551303993782,0.8751135653880722,1037167,820,62000,6573
Random Forest,0.77,0.9430731275303644,0.8898009673090626,0.09253519626957783,0.1665029352639535,0.8751135653880722,1037221,766,62227,6346
Random Forest,0.78,0.9429637796414113,0.8960967497885711,0.08968084802207457,0.16193266196315664,0.8751135653880722,1037296,691,62423,6150
Random Forest,0.79,0.9428264170040486,0.9011842734460143,0.08666777063436074,0.15704526131647079,0.8751135653880722,1037351,636,62630,5943
Random Forest,0.8,0.9426935728744941,0.9059410000713257,0.08378625390201334,0.15230661149167513,0.8751135653880722,1037402,585,62828,5745
Random Forest,0.81,0.9425453658183921,0.9096995966654822,0.08069880200174222,0.14718415028748727,0.8751135653880722,1037450,537,63040,5533
Random Forest,0.82,0.9424179438982071,0.9151023212696062,0.0778338184242026,0.14244016779942975,0.8751135653880722,1037506,481,63237,5336
Random Forest,0.83,0.9422778701561597,0.92101520031709,0.07480093020132807,0.1373661070868054,0.8751135653880722,1037559,428,63445,5128
Random Forest,0.84,0.9421396038172354,0.9254706894753078,0.07196638552514287,0.13256782432300085,0.8751135653880722,1037601,386,63640,4933
Random Forest,0.85,0.9419633820127242,0.9294747580142593,0.06856019863278255,0.12675129002403338,0.8751135653880722,1037640,347,63874,4699
Random Forest,0.86,0.9417862565066513,0.9302363136821512,0.0653317027261717,0.12115046954605146,0.8751135653880722,1037666,321,64096,4477
Random Forest,0.87,0.9416335309427415,0.9352308659086989,0.062296766187201,0.11590742722857077,0.8751135653880722,1037705,282,64304,4269
Random Forest,0.88,0.9414500795257374,0.9395763283777981,0.058819300554845175,0.10981073817873624,0.8751135653880722,1037741,246,64543,4030
Random Forest,0.89,0.9412458429728167,0.9429862067131054,0.05508110603767062,0.10318693882695078,0.8751135653880722,1037772,215,64800,3773
Random Forest,0.9,0.941037087912088,0.9444156653826257,0.05136301015658852,0.09654727102500955,0.8751135653880722,1037796,191,65055,3518
Random Forest,0.91,0.940831043956044,0.9488986548186853,0.047605252612497095,0.08976097790711432,0.8751135653880722,1037826,161,65313,3260
Random Forest,0.92,0.9406313259109311,0.9554383104479409,0.04390640507068692,0.08309519062994195,0.8751135653880722,1037859,128,65567,3006
Random Forest,0.93,0.9404054005205321,0.959324615122479,0.039969249578050856,0.07589868893854657,0.8751135653880722,1037879,108,65837,2736
Random Forest,0.94,0.9401894158473105,0.9625309259019164,0.03620552112245236,0.06898099286319809,0.8751135653880722,1037898,89,66095,2478
Random Forest,0.95,0.9399508386350492,0.9613440389915077,0.032134189137570525,0.061451759864436205,0.8751135653880722,1037913,74,66374,2199
XGBoost,0.05,0.2814072440717178,0.07925316464314322,0.9940290152947815,0.14677134240848655,0.8906802466438315,243232,794755,411,68162
XGBoost,0.06,0.32609167148640833,0.08374328820769872,0.9913639823540248,0.15442409691822237,0.8906802466438315,292861,745126,594,67979
XGBoost,0.07,0.35225744650086754,0.08663741087214236,0.9880859319221654,0.1592818697924714,0.8906802466438315,322040,715947,819,67754
XGBoost,0.08,0.377688512145749,0.08965756333992254,0.984328034874892,0.16430674611426188,0.8906802466438315,350439,687548,1077,67496
XGBoost,0.09,0.42564253181029493,0.09623113858324364,0.9802621179441792,0.17518017690271875,0.8906802466438315,403782,634205,1356,67217
XGBoost,0.1,0.44811849334875653,0.09956266388844891,0.9765574233916166,0.18060175441193269,0.8906802466438315,428907,609080,1610,66963
XGBoost,0.11,0.4690717177559283,0.10284821272494868,0.9724611995857142,0.18589598006346536,0.8906802466438315,452374,585613,1891,66682
XGBoost,0.12,0.48839195344129555,0.10611230011133706,0.9686675511457297,0.1911150071506361,0.8906802466438315,474013,563974,2151,66422
XGBoost,0.13,0.5065238215731637,0.1093523875627189,0.9647315352549993,0.19624951816084077,0.8906802466438315,494347,543640,2421,66152
XGBoost,0.14,0.5231248192596876,0.11248674111090999,0.9607131716776467,0.20116778138100178,0.8906802466438315,512993,524994,2697,65876
XGBoost,0.15,0.5388998337189127,0.11564113546586854,0.9567313101476218,0.20607953506398977,0.8906802466438315,530722,507265,2970,65603
XGBoost,0.16,0.5533861697513014,0.11864717041551809,0.9523413495573487,0.210705762601426,0.8906802466438315,547053,490934,3271,65302
XGBoost,0.17,0.5672326850780798,0.12167231028989205,0.9480406777118603,0.2153243199857445,0.8906802466438315,562670,475317,3566,65007
XGBoost,0.18,0.5801872469635627,0.12462305409190795,0.9437578418310251,0.21979177121827384,0.8906802466438315,577299,460688,3860,64713
XGBoost,0.19,0.5926619433198381,0.12765028736831394,0.9399213710797861,0.22435446225958966,0.8906802466438315,591366,446621,4123,64450
XGBoost,0.2,0.60457995951417,0.1306928918896426,0.9360895179314447,0.22890157722060164,0.8906802466438315,604817,433170,4386,64187
XGBoost,0.21,0.6156891628108734,0.1336375710080058,0.9321939861227726,0.23326274857520932,0.8906802466438315,617377,420610,4653,63920
XGBoost,0.22,0.6266194331983805,0.1366548158724214,0.9281374950156565,0.23769332222789102,0.8906802466438315,629750,408237,4931,63642
XGBoost,0.23,0.6370833935801041,0.13966015406152432,0.9240366096993557,0.242069704725618,0.8906802466438315,641610,396377,5212,63361
XGBoost,0.24,0.6470241107576633,0.1426322021905289,0.9197918636381047,0.24635379003906852,0.8906802466438315,652901,385086,5503,63070
XGBoost,0.25,0.6562716888374783,0.14553240211717264,0.9159235633970446,0.2505083342270141,0.8906802466438315,663399,374588,5768,62805
