id_celda,area_km2,delitos_ponderados,cant_paradas,densidad_delitos,densidad_paradas
4604,0.0625,48.75,0.0,780.0,0.0
4605,0.0625,40.75,0.0,652.0,0.0
4606,0.0625,67.1,1.0,1073.6,16.0
4607,0.0625,49.45,1.0,791.2,16.0
4608,0.0625,53.25,0.0,852.0,0.0
4609,0.0625,55.95,0.0,895.2,0.0
4610,0.0625,72.9,0.0,1166.4,0.0
4611,0.0625,109.75,3.0,1756.0,48.0
4612,0.0625,43.5,0.0,696.0,0.0
4613,0.0625,62.35,0.0,997.6,0.0
4614,0.0625,34.0,0.0,544.0,0.0
4615,0.0625,38.45,1.0,615.2,16.0
4616,0.0625,56.85,2.0,909.6,32.0
4617,0.0625,56.9,1.0,910.4,16.0
4618,0.0625,55.1,1.0,881.6,16.0
4619,0.0625,62.35,1.0,997.6,16.0
4620,0.0625,49.55,0.0,792.8,0.0
4621,0.0625,46.9,2.0,750.4,32.0
4622,0.0625,67.6,1.0,1081.6,16.0
4623,0.0625,47.6,0.0,761.6,0.0
4624,0.0625,57.85,4.0,925.6,64.0
4625,0.0625,66.25,1.0,1060.0,16.0
4626,0.0625,56.75,1.0,908.0,16.0
4627,0.0625,49.35,2.0,789.6,32.0
